,text,bias
0,Rubbish. Never buy Chinese because its garbage.,1
1,surprise surprise  the islamaphobe peddlers in the govt cbc gm and univs are always silent when muslims kill innnocent people and xians in the name of their boogie woogie sky wizard.,1
2,comments about Trump allowed...comments turned off on story of muslim shooting other muslins,1
3,Your Communist Muslim Terrorist Half White ExPresident is behind this.,1
4,Actually aparthied was created to protect whites from violent blacks. Now that whites have no power all of their fears are playing out and genocide is in full swing. The white population has gone from 30 to less than 10.,1
5,Wow what a load of BS.  Trumps victory did not lead to more hate crimes except it did lead to more fake hate crimes all reported by lying muslims to gin up hysteria found here.  More fake news and lies from the media.,1
6,We should bear in mind what devout Muslims  did in Orlando before we disparage Conservatives.,1
7,Inclusivity anyone?I wonder what the gay cops think of this one.Western society is getting more stupid by the day.I wish I could go ahead in time about a hundred years and read about these times in which we now find ourselves.Black Lives Matterpathetic,1
8,While Muslims excoriate us about supposed Islamophobia we should bear in mind Islams entrenched xenophobia homophobia misogyny Judeophobia and antisemitism  Christophbia Europhobia Americanophobia democraceaophobia  iconoclasm and even Islamophobia against each other. Ancient tribal  wars of extermination between Kurds Shiite Sunni Wahhabi Druze and other Islamic sects are worse than anything expressed in the west even by Trump,1
9,Deport him right Tumpites? Crimes are only committed by illegals and Muslims. Thats what y ou people makw it out to be. Crimes against the elderly are almost as bad as crimes against children in the law of of prisoners. Prisoners will give this guy a good treatment when He gets to the joint.,1
10,Colter is white and you can always be assured that white lib progressiveregressive low IQ useful idiots will be against white more than any other color.,1
11,We are gonna send all the Muslims you can handle.  That should shut you up you globalist dick,1
12,ANC voters dont mind. As long they are told that the problem is the white man who refuses with the land. As for Zuma stealing they believe its his right its time for him to enrich himself as others before him did and those coming after him will do,1
13,Only white men are allowed to be racist and sexist.,1
14,Yah poor President Orange. If only the media had proof of him calling Mexicans rapists.,1
15,the hypocracy of the LGBT... advocates at womens shelters and related organizations who refuse to accept trannies born as males. apparantly only the trannies born as females get their our  financial and emotional support,1
16,America has become way too rude and way too ugly to be the leader of the free world.,0
17,The Koran is a book of rules for faith and spiritual guidance which is understood and accepted.,0
18,"In many countries, LGBTI people can legally live their lives. Why do you think this is a burden to others?",0
19,I am sick and tired of WMC rags like this trashing our democratically elected government on a daily basis. You better learn to live with it: the ANC will be here long after every white racist have left this country regardless of how many times your paid lackeys predict otherwise.,0
20,"Migrants are not a security risk to the community as a whole, the opposite is true: they provide a valuable contribution to our society, especially in skilled jobs.",0
21,The misrepesentative Islamophobia narrative is based on the erroneous assumption that Islam is a religion based upon discrimination and conquest.,0
22,"It is often claimed that Islam is about exclusion, but this is a lie.",0
23,"There are no restrictions on Muslims entering European countries. Even if many Muslims are victims of discrimination and violence through words like yours, such restrictions do not exist here.",0
24,The majority of people of color who live here are contributing members of our society. Why shouldn't they live here?,0
25,It doesn't make sense to define a community as unacceptable just because of the colour of its members' skin.,0
26,"I don't think the world would be a better place without immigrants. From what I understand, they often bring positive changes to the world.",0
27,Great Now show me where anyone said its OK that black cops kill black people.   Its only about race to you isnt it?,0
28,"Migrants perform several vital functions in our economy. If they work and pay taxes then it is straightforward that they will get their pensions, but not ours, of course.",0
29,"Gays, like heterosexual people, need to get tested for diseases before donating blood, so there in no risk at all.",0
30,Sorry but it is not the case that everyone who is gay is a liar.,0
31,Toxic feminism is the real social problem.,0
