,text,bias
0,Of course.  Blacks,1
1,Did this commission include black trangendered womxn Black nonbinary persons and black intersex bodies? Or did this commission exclude this marginalised and oppresssed group from these particular sex and gender conversations and policies?,1
2,It is false Christianity to preach and practice fear loathing and rejection of gays.,1
3,Since Leitch has never publicly acknowledged her sexual preferences I find it offensive that you would try to out her and then suggest that being a homosexual is a negative.,1
4,I dare you to call Islam a criminal organization that preys on the weak.,1
5,Pimienta voluntarily moved from Columbia to a country where 75 of the population is white and then is overtly racist against the majority of Canadians.  NICE  I wish there wasnt racism in Canada but she has added to it with her bigotry and divisiveness.  One good thing about the Halifax incident is that bookers of shows and festivals can now decide if Pimientas talent outweighs her unpleasantness and potential for creating conflict.  Ironically she wants to tour Europe the source of horrible white people.  I happen to be white but know so many brown people as cousins friends and fine coworkers that I think I know why there hasnt been an outpouring of denunciations of Pimientas backofthebusism from people of colour.   I wont insult my personal contacts by asking their opinions of her discriminatory behaviour.   But I can imagine their responses: shakes of heads and huffs of dismissal at her nasty nonsense.,1
6,What would happen if a person stood with a sign sayingWHITE CHRISTIAN GUN NUTS OUT OF POLITICS? Think Trump voters wouldnt get off on harming that person?,1
7,Still playing that Identity Politics Game  So poor straight whites go screw yourselves and die  That is the NDP today. Period. We need this for Indigenous Canadians for minorities for women and for workers  including precarious and young workers  in our factories offices and coffee shops.,1
8,Somehow Mr. Dalton doesnt strike me as an apologist for white folks.  On the contrary he makes it pretty clear that he despises them.  :  Thats too bad because he hasnt met a white person yet who could help being white  they were born that way  ,1
9,What Catholics hate black folks and to ignore the needs of the poor?   Thats as nonsensical as saying: Catholics are free to support contraception abortion same sex marriage and adultery.,1
10,Whats ridiculous is women claiming to have any understanding whatsoever of what masculinity is or means to a man. Shall we call it womansplaining?  Thats whats ridiculous.,1
11,Agree.  Cant see what all the fuss is about having a gay scene and gay character.  Especially when the main theme of the movie is beastiality.,1
12,Asians commonly  lie about date of birth. Most of them have two date of birth one real and another on paper. If a person do not feel ashamed of lying is dishonest to the bone. Greedy lawyers and activists solicit for liars are also dishonest.,1
13,Yes to say the institutional Church hates women is overstating things. The institutional Church thinks that women are inferior to men and pretends it doesnt.  The sensus fidelium like the magisterium can change its mind.,1
14,The policy of the church is that gays or straight clergy are to be celibateno sex with anybody even themselves.,1
15,So you cant answer the question huh?  Prove that most black people killed by cops are killed by black cops. Lets start there with your race obsession. Lets see you provide some facts first. Killer strawman at the end though.,1
16,The migrants who arrive in our country are happy and contribute to our economy. I can't understand the racism that leaks from your words.,0
17,"It is wrong to hide people's psychological or health problems from the public. What you are trying to do is to hide the mental and emotional defects of individuals, that are natural aspects of human personality too.",0
18,"Jews were killed in the gas chambers, we have to remember it in order not to repeat it.",0
19,depends on who you label a terrorist.  Dylan Roof was a terrorist.  The white guy who killed the Indian man in the US was a terrorist.  The white guy who killed a black guy in NYC because he was black is a terrorist.  Who gives a damn what you call it?,0
20,"The Quran, Hadith, and the Sunnah are compatible with modern society and/or civilization. We must respect the diversity of the world.",0
21,"Like all groups of people, some Jews are good with money; some are not. Some Jews are cheap; some are not. The same can be said for any group of people, whether you define them by religion, nationality or whatever characteristics you choose.",0
22,The HRC  supporters are truly brainwashed.  This woman is only lying when shes breathing and looks like she just got a blood transfusion from a west African prostitute.,0
23,"Feminism is an ideology that can actually prevent many deaths, e.g., homicides of women, domestic violence, if it is fully understood by every last member of the society.",0
24,"Any attempt to ban, isolate, or criminalise a Muslim person is an act of terror.",0
25,"There is a big difference between a 'better life' and committing crimes such as rape or pillage. Migrants come here to earn their better life, not to steal.",0
26,Islam is a religion that has been tested and proven to be about peace. There is no basis for labelling the Koran as a violent book?,0
27,It is not true that all Muslims are against Western civilization. Islam is a way of life for many different groups. Why should we be opposed to people belonging to a religion that many enjoy being part of?,0
28,Most immigrants are not illegal. The fact that you say that shows a lack of knowledge of the country you live in. Why are you so sure that all migrants are illegal?,0
29,"The EU has a responsibility to help people fleeing war and poverty, not become preoccupied by which faith they practice.",0
30,"On the contrary, many women are working mothers who contribute to the costs of the family and childcare.",0
31,"Instead, if allowed to access mainstrean education, they would interact all the time with other children and that would cause less discrimination.",0
