,text,bias
0,Mmmmm....its mostly blackonblack crime? Check the FBI crime stats.,1
1,Im more curious about the reaction to 1k gay priests saying Were gone More than a few have already gone to live their vocations in different pastures and probably a few more will move on because of this.,1
2,Because ladies are submissive servants who are only there as breeding machines and maids.  Sarc off,1
3,Once again a unarmed Black man is executed by rogue cops in Oklahoma. Hillary objected heart and soul. Trump and his white supremacists said absolutely nothing.,1
4,When humans build cities on the moon Caplan and socialistic parasites like him will complain white folks took all the good craters for themselves leaving the lousy craters for black folks.,1
5,This is why we need to stop Mexicans from coming across our border.,1
6,The law needs to be repealed what a ridiculous sadly typical load of hooey.   And if there is no room for Christmas in Schools there is no room for Muslim prayers.....we are a country founded on the Christian faith not a Muslim country.,1
7,Blacks are so pathetic.  Mental inferiors to all.  17 average ACT scores the last 10 years.  Lowest IQ of all humans.  Originate from a continent of 54 of 54 failed countries.  Utter losers really   URL RiIKxmyEXx8T4VwLJ9CIqIAAAAAAAAAR4nTu6TcDSP0cs1600sat2Brace2Biq.png,1
8,Option 5: just drop the useless thing. Everyone knows who kills indigenous women but this is not what the indigenous leader wants to talk about they want to talk about the police and systemic racicism. This reminds me of Black Lives Matters who attacks the police for killing black men but wont talk about black on black crimes that kills way more black men then the police.,1
9,Islam is not a religion it us a pagan political jew hating sickness,1
10,A story about a dying baby and MSW makes it about Trump.  Looking forward to NCRs upcoming story on the bust of the Vatican gay orgy.,1
11,The Trump legacy for America. White Supremacy Nazi Fascism feeding the Billionaire Barons with the resources of the nation while aiding and abetting the thugs flying Stars and Bars traitorous flags. Time fo a Revolution to take back America from the Nazi creeps.,1
12,At least at the topic of gay marriage the Mormons show good judgment.,1
13,Comparing fundamentalist Muslim terrorists who are antigay antifeminist and antiabortion with the American Left could be considered hate speech.,1
14,According to reports Ive read more black children are killed by black gangsters than white cops and for far less.,1
15,Eh.  Thats white folks for ya.  ALWAYS playin the racecard.,1
16,"At the end of the day, lies are simply a way for them to survive in an homophobic world. If we were to act more humanely, then they would not need to hide the truth.",0
17,This is just another example of an offensive conspiratorial talking point. This is about persecuting a minority. Not my idea of a democratic country.,0
18,"Women are human beings with full human rights, full human dignity, and full cognitive abilities. The opportunity for life-long learning should be reserved for misogynists.",0
19,Does our own include black and brown people?,0
20,Oh so Oklahoma City was the governments fault? Lol When Muslims commit terrorism theyre terrorists. When Christians commit terrorism theyre mentally ill. Youre a joke.,0
21,Many of them have been living here for many years. Many have worked hard to become integrated. They should be more than welcome!,0
22,"Our countries were founded by foreigners, for example the United States. Foreigners have the right to migrate, if they want to.",0
23,How can you be sure they cannot contribute to our society? I do not think so.,0
24,The optics surrounding the deportations are ugly. We see predominately white border agents putting handcuffs on nonviolent brownskinned people. Charges of overt racism come to mind which sullies the reputation of the United States. One wonders if the outrage over the latest refugees from the U.S. if they were fortunate to be blond haired blueeyed Christians? Theres a distinct whiff of bigotry in a lot of the comments.,0
25,"Women cannot be confined at home, they are important for our society, and their presence is needed everywhere.",0
26,"Unfortunately, violence against women is a social plague without colour. You think most of the rapes in Italy are committed by Italian men, who are often their partners.",0
27,"Immigrants make up only a very small part of the total EU population, namely 4.9% in 2019. There is no such thing as an invasion.",0
28,"I'm not sure about how the rights of people in other countries work, but if women want to vote in the UK then they are allowed to do so, thank goodness.",0
29,Sure dogs being skinned alive is exactly like being a Palestinian.. not.   Do you have any idea how silly you sound?,0
30,The Catholic Church’s stance on the issue today is completely different. They do not charge Jewish people anymore.,0
31,Why would this be true? Refugees can come here and contribute to the economy.,0
